iter	Logloss
0	0.6434644821
1	0.6048897481
2	0.5691216356
3	0.5401236964
4	0.5053767975
5	0.4828579432
6	0.4506876758
7	0.429641473
8	0.4073416107
9	0.3886003271
10	0.3696114951
11	0.3553221917
12	0.3420630585
13	0.3317543179
14	0.3212304378
15	0.3136360849
16	0.3075972598
17	0.3010334506
18	0.294358551
19	0.2893052786
20	0.2858491883
21	0.2815535197
22	0.2783069253
23	0.2757071937
24	0.2732094482
25	0.2710715503
26	0.2691811761
27	0.2674700348
28	0.2649225322
29	0.2637806555
30	0.2623285217
31	0.2610258806
32	0.2596612104
33	0.2585773553
34	0.2569458541
35	0.2562536374
36	0.2554736006
37	0.2546657111
38	0.2537228465
39	0.2530773414
40	0.2524727699
41	0.2518580841
42	0.2514341665
43	0.2503501963
44	0.2497294476
45	0.2493407177
46	0.2489409366
47	0.2482575665
48	0.2476882907
49	0.2471599419
50	0.2468053764
51	0.2464547856
52	0.2456929199
53	0.2452872296
54	0.2448305315
55	0.2443208474
56	0.2437891542
57	0.243430089
58	0.2431458672
59	0.2429249823
60	0.2427020547
61	0.2423161243
62	0.2421288046
63	0.2419511061
64	0.2415499712
65	0.2412928851
66	0.241099006
67	0.2408661782
68	0.2406714008
69	0.2404640131
70	0.2402705979
71	0.2400046252
72	0.2398126474
73	0.23951472
74	0.2393177799
75	0.2390666762
76	0.2388793537
77	0.2387067828
78	0.2384108925
79	0.238246949
80	0.2381191978
81	0.2378591536
82	0.2376608433
83	0.2374556385
84	0.2372810996
85	0.237141433
86	0.237019101
87	0.2367415678
88	0.2365447992
89	0.2363822145
90	0.2362058872
91	0.2360487706
92	0.2359577567
93	0.2358361369
94	0.2357438906
95	0.2355750078
96	0.2354520928
97	0.2353210691
98	0.2352188345
99	0.235047182
100	0.2348966685
101	0.2348090631
102	0.2346938966
103	0.2345956542
104	0.2343739081
105	0.2342458612
106	0.2341692812
107	0.2340116641
108	0.2338686509
109	0.2337637705
110	0.2336652379
111	0.2335438423
112	0.2334800997
113	0.2333570889
114	0.2331584298
115	0.2330808671
116	0.233016043
117	0.2327894535
118	0.2327211313
119	0.2326451843
120	0.2325367418
121	0.2324189904
122	0.2323193372
123	0.2322418026
124	0.232129821
125	0.2320334582
126	0.2319775181
127	0.2318885007
128	0.2317802582
129	0.231699574
130	0.2316309818
131	0.2315660541
132	0.2314605047
133	0.2313880125
134	0.2313259304
135	0.2312830012
136	0.2312310017
137	0.2311568302
138	0.23100954
139	0.2309547127
140	0.2308914227
141	0.2308132564
142	0.2307429708
143	0.2306966321
144	0.2305950287
145	0.2305369633
146	0.2304574893
147	0.2303849167
148	0.2302782742
149	0.2301689143
150	0.2301017843
151	0.2300091281
152	0.2299631275
153	0.2298876809
154	0.2298349369
155	0.2297260201
156	0.2296381168
157	0.2295652152
158	0.2294966456
159	0.2293673004
160	0.2293010451
161	0.2292335628
162	0.2291458366
163	0.2290692171
164	0.2289756311
165	0.2289371776
166	0.2288765387
167	0.2288257946
168	0.2287418159
169	0.2286805356
170	0.2286262118
171	0.2285647087
172	0.2285122513
173	0.2284562929
174	0.2283486346
175	0.2282805303
176	0.2281827947
177	0.2281368249
178	0.2280701776
179	0.2280004695
180	0.2279082671
181	0.2278572849
182	0.2277798809
183	0.2277256469
184	0.227615303
185	0.2275706687
186	0.2275192841
187	0.2274515011
188	0.2273946168
189	0.2273113778
190	0.2272352012
191	0.2271688764
192	0.2271199817
193	0.2270087089
194	0.2269309158
195	0.2268799981
196	0.2267892209
197	0.2266991702
198	0.2266373498
199	0.2266004337
200	0.2265330102
201	0.2264388142
202	0.2263626047
203	0.2262952883
204	0.2262292036
205	0.2261695107
206	0.2261083808
207	0.2260341583
208	0.225965131
209	0.2258789042
210	0.2258067237
211	0.2257301458
212	0.2256660459
213	0.225578425
214	0.2255126199
215	0.2254559501
216	0.2253893376
217	0.2253157567
218	0.225244534
219	0.2251780989
220	0.2250956112
221	0.2250330938
222	0.2249820473
223	0.2249111768
224	0.2248386743
225	0.2247702395
226	0.2246866182
227	0.2246196541
228	0.2245668532
229	0.2245167259
230	0.2244544339
231	0.224404378
232	0.2243519917
233	0.2243041821
234	0.2242353187
235	0.2241598225
236	0.2240996243
237	0.2240636475
238	0.2240050196
239	0.2239514103
240	0.2238859815
241	0.2238350712
242	0.2237760868
243	0.2237114877
244	0.2236682944
245	0.2235995886
246	0.2235485426
247	0.2234852148
248	0.2234232942
249	0.2233597031
250	0.2232970326
251	0.2232276579
252	0.2231583579
253	0.2230806569
254	0.2230261877
255	0.2229710414
256	0.2229158073
257	0.222846607
258	0.2228057011
259	0.2227260383
260	0.2226754105
261	0.2226239236
262	0.2225410772
263	0.2224555681
264	0.2223969945
265	0.2223520484
266	0.2222983987
267	0.2222377069
268	0.2221771006
269	0.2221259951
270	0.2220903869
271	0.2220566498
272	0.2220124431
273	0.2219376349
274	0.2218825068
275	0.2218187112
276	0.2217689545
277	0.2217152249
278	0.221664598
279	0.221601533
280	0.221560562
281	0.2214956757
282	0.2214406132
283	0.2213780491
284	0.2213203623
285	0.2212609593
286	0.2212138318
287	0.2211647975
288	0.2211186252
289	0.221072898
290	0.2210403295
291	0.2209870385
292	0.2209179597
293	0.2208683931
294	0.2208263591
295	0.2207707205
296	0.2207233257
297	0.2206688473
298	0.2206296631
299	0.2205867118
300	0.22054079
301	0.220484123
302	0.2204120999
303	0.2203544183
304	0.2203132281
305	0.2202663789
306	0.22021924
307	0.2201813358
308	0.2201067426
309	0.2200548542
310	0.2200165609
311	0.2199550544
312	0.2198596305
313	0.2197576666
314	0.2197091144
315	0.2196467048
316	0.2196033478
317	0.2195471491
318	0.2195048307
319	0.2194748893
320	0.2194239878
321	0.2193758935
322	0.2193288608
323	0.219278716
324	0.2192413183
325	0.2192027535
326	0.2191606147
327	0.2190850661
328	0.2190469414
329	0.2189905026
330	0.2189420768
331	0.2188560092
332	0.2188238889
333	0.218766155
334	0.2187088351
335	0.2186543702
336	0.2186223946
337	0.2185702147
338	0.21851959
339	0.2184791828
340	0.2184396669
341	0.2183947609
342	0.2183455258
343	0.218304404
344	0.2182716401
345	0.2182215336
346	0.2181555515
347	0.2180963743
348	0.2180611058
349	0.2179981386
350	0.2179457008
351	0.2178922271
352	0.2178580596
353	0.2178126041
354	0.2177576158
355	0.2176944627
356	0.2176151936
357	0.2175758796
358	0.2175406669
359	0.2174770724
360	0.2174249729
361	0.2173710293
362	0.2173236871
363	0.2172703913
364	0.2172212913
365	0.2171735825
366	0.2171139291
367	0.2170780355
368	0.2170441165
369	0.2169643344
370	0.2169226476
371	0.2168851869
372	0.2168352184
373	0.2167972143
374	0.2167628224
375	0.2167117181
376	0.216657978
377	0.216617238
378	0.216567487
379	0.216501957
380	0.2164508216
381	0.2163995345
382	0.2163443826
383	0.2163180118
384	0.2162450925
385	0.2162161685
386	0.2161831174
387	0.2161373188
388	0.2160948814
389	0.216064426
390	0.2160275916
391	0.2159602996
392	0.2159277162
393	0.2158682517
394	0.2158214621
395	0.2157632373
396	0.215727092
397	0.2156762007
398	0.2156355126
399	0.2155811857
400	0.2155415916
401	0.2155064714
402	0.2154563271
403	0.2154097979
404	0.2153634301
405	0.2153327437
406	0.2152860988
407	0.2152540619
408	0.2152149439
