iter	Passed	Remaining
0	349	349000
1	478	238757
2	510	169639
3	594	147928
4	640	127535
5	681	112834
6	705	100073
7	730	90531
8	748	82368
9	771	76420
10	791	71175
11	811	66776
12	829	63003
13	851	59974
14	868	57020
15	893	54948
16	915	52923
17	932	50887
18	948	48983
19	973	47700
20	988	46086
21	1005	44706
22	1022	43437
23	1044	42463
24	1068	41686
25	1101	41270
26	1141	41130
27	1168	40557
28	1206	40388
29	1265	40923
30	1309	40920
31	1369	41413
32	1447	42410
33	1528	43415
34	1586	43731
35	1623	43478
36	1673	43564
37	1707	43227
38	1741	42922
39	1777	42663
40	1855	43396
41	1915	43697
42	1997	44452
43	2048	44501
44	2120	44999
45	2163	44878
46	2184	44292
47	2202	43690
48	2221	43116
49	2240	42564
50	2255	41979
51	2268	41359
52	2285	40830
53	2303	40345
54	2318	39843
55	2334	39346
56	2349	38865
57	2363	38392
58	2378	37928
59	2394	37506
60	2405	37033
61	2435	36849
62	2453	36485
63	2467	36085
64	2480	35686
65	2499	35369
66	2514	35017
67	2529	34666
68	2544	34336
69	2560	34013
70	2574	33685
71	2590	33382
72	2602	33047
73	2616	32740
74	2631	32451
75	2647	32189
76	2663	31931
77	2678	31663
78	2692	31386
79	2707	31133
80	2725	30922
81	2742	30704
82	2760	30493
83	2777	30286
84	2794	30086
85	2818	29955
86	2836	29766
87	2855	29596
88	2882	29501
89	2904	29369
90	2950	29474
91	2994	29556
92	3019	29450
93	3055	29450
94	3091	29449
95	3124	29421
96	3151	29341
97	3183	29301
98	3230	29399
99	3282	29543
100	3337	29710
101	3376	29724
102	3410	29703
103	3456	29782
104	3503	29862
105	3542	29878
106	3587	29941
107	3625	29943
108	3665	29964
109	3686	29828
110	3704	29668
111	3720	29499
112	3737	29341
113	3753	29172
114	3769	29006
115	3784	28840
116	3803	28705
117	3823	28576
118	3842	28449
119	3859	28304
120	3874	28145
121	3890	27997
122	3905	27849
123	3922	27711
124	3938	27572
125	3954	27429
126	3969	27285
127	3985	27148
128	4001	27016
129	4019	26901
130	4039	26794
131	4068	26750
132	4082	26612
133	4099	26490
134	4114	26365
135	4130	26242
136	4146	26118
137	4161	25995
138	4177	25876
139	4193	25759
140	4208	25637
141	4224	25522
142	4242	25426
143	4257	25308
144	4272	25195
145	4292	25105
146	4310	25010
147	4326	24907
148	4343	24807
149	4358	24699
150	4374	24593
151	4389	24491
152	4405	24391
153	4422	24294
154	4440	24208
155	4460	24133
156	4482	24070
157	4499	23979
158	4518	23898
159	4537	23822
160	4558	23753
161	4600	23797
162	4642	23840
163	4681	23866
164	4719	23883
165	4751	23873
166	4784	23864
167	4829	23917
168	4867	23934
169	4905	23949
170	4948	23987
171	4986	24005
172	5017	23985
173	5034	23900
174	5065	23882
175	5115	23948
176	5162	24002
177	5209	24056
178	5257	24114
179	5284	24074
180	5315	24049
181	5347	24034
182	5378	24013
183	5397	23937
184	5415	23859
185	5437	23795
186	5456	23721
187	5473	23640
188	5491	23562
189	5508	23483
190	5526	23407
191	5544	23334
192	5568	23283
193	5591	23229
194	5609	23159
195	5636	23120
196	5658	23063
197	5683	23020
198	5703	22958
199	5723	22894
200	5747	22845
201	5769	22791
202	5794	22750
203	5816	22695
204	5836	22635
205	5854	22566
206	5874	22504
207	5899	22463
208	5918	22398
209	5938	22338
210	5954	22266
211	5971	22197
212	5991	22138
213	6010	22077
214	6039	22050
215	6071	22036
216	6093	21987
217	6114	21932
218	6139	21895
219	6160	21841
220	6180	21785
221	6201	21731
222	6225	21689
223	6247	21642
224	6265	21579
225	6283	21518
226	6299	21451
227	6317	21389
228	6335	21331
229	6353	21270
230	6371	21212
231	6388	21148
232	6406	21089
233	6423	21026
234	6462	21039
235	6484	20991
236	6502	20933
237	6519	20874
238	6538	20820
239	6557	20765
240	6574	20705
241	6590	20641
242	6607	20582
243	6623	20521
244	6639	20459
245	6656	20401
246	6675	20349
247	6693	20295
248	6714	20251
249	6731	20195
250	6750	20144
251	6768	20089
252	6785	20034
253	6801	19975
254	6817	19917
255	6833	19859
256	6849	19802
257	6871	19763
258	6892	19720
259	6912	19675
260	6932	19629
261	6948	19572
262	6969	19529
263	6986	19478
264	7004	19427
265	7021	19374
266	7036	19318
267	7054	19269
268	7080	19240
269	7107	19215
270	7134	19193
271	7156	19154
272	7183	19130
273	7212	19111
274	7238	19083
275	7259	19043
276	7281	19004
277	7302	18966
278	7327	18936
279	7344	18886
280	7362	18838
281	7382	18795
282	7400	18750
283	7418	18703
284	7435	18653
285	7451	18602
286	7473	18566
287	7492	18524
288	7513	18483
289	7539	18459
290	7561	18422
291	7610	18453
292	7657	18476
293	7698	18486
294	7746	18512
295	7779	18501
296	7805	18474
297	7836	18460
298	7874	18461
299	7908	18453
300	7929	18414
301	7978	18439
302	8013	18432
303	8044	18417
304	8091	18437
305	8134	18449
306	8182	18470
307	8223	18477
308	8258	18467
309	8291	18455
310	8318	18429
311	8336	18383
312	8354	18337
313	8372	18290
314	8392	18250
315	8411	18206
316	8431	18165
317	8447	18117
318	8464	18069
319	8482	18024
320	8498	17975
321	8513	17926
322	8530	17880
323	8546	17831
324	8561	17781
325	8576	17731
326	8591	17682
327	8609	17639
328	8627	17595
329	8645	17552
330	8661	17506
331	8677	17459
332	8692	17412
333	8709	17366
334	8727	17324
335	8743	17279
336	8759	17233
337	8775	17187
338	8790	17140
339	8806	17094
340	8827	17058
341	8845	17018
342	8863	16977
343	8880	16933
344	8894	16886
345	8908	16839
346	8925	16796
347	8940	16749
348	8954	16703
349	8970	16660
350	8986	16615
351	9001	16571
352	9017	16528
353	9035	16487
354	9052	16447
355	9072	16412
356	9088	16370
357	9103	16325
358	9118	16281
359	9134	16238
360	9151	16199
361	9167	16156
362	9182	16114
363	9201	16076
364	9217	16035
365	9232	15992
366	9250	15955
367	9269	15919
368	9287	15882
369	9303	15841
370	9319	15800
371	9335	15759
372	9350	15718
373	9367	15678
374	9381	15636
375	9399	15598
376	9415	15559
377	9430	15518
378	9445	15476
379	9463	15441
380	9488	15416
381	9508	15382
382	9525	15345
383	9541	15306
384	9591	15322
385	9607	15282
386	9624	15244
387	9640	15205
388	9655	15166
389	9671	15127
390	9694	15099
391	9714	15066
392	9731	15030
393	9746	14991
394	9762	14952
395	9778	14914
396	9794	14877
397	9812	14841
398	9829	14805
399	9844	14766
400	9859	14727
401	9874	14689
402	9889	14650
403	9906	14615
404	9925	14582
405	9943	14548
406	9965	14519
407	9980	14481
408	9994	14442
409	10008	14402
410	10025	14367
411	10040	14330
412	10056	14292
413	10071	14255
414	10086	14218
415	10102	14182
416	10122	14152
417	10143	14123
418	10159	14086
419	10176	14052
420	10194	14020
421	10210	13985
422	10226	13949
423	10242	13913
424	10257	13877
425	10272	13841
426	10287	13805
427	10302	13768
428	10317	13732
429	10336	13701
430	10355	13670
431	10374	13640
432	10390	13605
433	10405	13569
434	10422	13537
435	10438	13503
436	10454	13469
437	10470	13434
438	10487	13401
439	10502	13366
440	10518	13332
441	10533	13297
442	10549	13264
443	10565	13230
444	10580	13195
445	10600	13167
446	10619	13138
447	10637	13106
448	10652	13071
449	10669	13040
450	10687	13009
451	10701	12974
452	10717	12940
453	10733	12908
454	10748	12875
455	10767	12845
456	10788	12818
457	10806	12788
458	10823	12756
459	10839	12725
460	10855	12691
461	10870	12659
462	10886	12626
463	10901	12593
464	10916	12559
465	10931	12526
466	10947	12494
467	10962	12461
468	10980	12432
469	10998	12403
470	11017	12373
471	11034	12343
472	11050	12311
473	11066	12280
474	11081	12247
475	11096	12215
476	11112	12183
477	11128	12152
478	11147	12124
479	11163	12093
480	11178	12061
481	11199	12036
482	11220	12010
483	11239	11982
484	11254	11950
485	11270	11919
486	11287	11889
487	11303	11858
488	11318	11828
489	11334	11796
490	11351	11767
491	11367	11736
492	11382	11706
493	11398	11675
494	11416	11647
495	11436	11621
496	11455	11593
497	11471	11563
498	11487	11533
499	11504	11504
500	11520	11474
501	11535	11443
502	11550	11413
503	11567	11384
504	11583	11353
505	11598	11323
506	11613	11293
507	11635	11268
508	11659	11246
509	11678	11220
510	11694	11190
511	11709	11160
512	11725	11130
513	11742	11103
514	11759	11074
515	11779	11048
516	11793	11018
517	11809	10988
518	11824	10959
519	11840	10929
520	11859	10903
521	11879	10877
522	11896	10850
523	11913	10821
524	11928	10792
525	11953	10772
526	11969	10743
527	11985	10714
528	12000	10684
529	12015	10655
530	12030	10625
531	12045	10596
532	12061	10568
533	12079	10541
534	12102	10519
535	12119	10491
536	12138	10465
537	12154	10437
538	12168	10407
539	12184	10379
540	12201	10351
541	12217	10324
542	12234	10296
543	12250	10268
544	12267	10241
545	12285	10215
546	12305	10190
547	12323	10164
548	12339	10136
549	12356	10109
550	12373	10083
551	12389	10055
552	12407	10029
553	12424	10002
554	12440	9975
555	12456	9947
556	12474	9921
557	12492	9895
558	12514	9872
559	12532	9846
560	12547	9818
561	12562	9790
562	12581	9765
563	12600	9741
564	12619	9715
565	12637	9690
566	12652	9662
567	12669	9636
568	12687	9610
569	12706	9585
570	12724	9560
571	12742	9534
572	12758	9507
573	12774	9480
574	12788	9452
575	12802	9424
576	12818	9397
577	12834	9370
578	12849	9343
579	12864	9315
580	12880	9288
581	12899	9264
582	12918	9239
583	12943	9219
584	12960	9194
585	12979	9169
586	12995	9143
587	13010	9116
588	13034	9095
589	13050	9069
590	13066	9042
591	13082	9016
592	13098	8990
593	13118	8966
594	13139	8943
595	13159	8920
596	13179	8896
597	13195	8870
598	13210	8843
599	13228	8819
600	13244	8793
601	13260	8766
602	13275	8740
603	13290	8713
604	13306	8687
605	13324	8663
606	13342	8638
607	13362	8615
608	13377	8589
609	13395	8564
610	13410	8537
611	13429	8513
612	13446	8489
613	13460	8462
614	13475	8435
615	13493	8411
616	13509	8385
617	13525	8360
618	13546	8337
619	13567	8315
620	13583	8290
621	13600	8265
622	13617	8240
623	13633	8214
624	13650	8190
625	13665	8164
626	13681	8139
627	13698	8114
628	13716	8090
629	13735	8066
630	13753	8042
631	13771	8019
632	13789	7994
633	13803	7968
634	13820	7943
635	13835	7918
636	13851	7893
637	13867	7868
638	13885	7844
639	13900	7818
640	13916	7793
641	13932	7769
642	13954	7747
643	13976	7726
644	13995	7702
645	14011	7678
646	14027	7653
647	14044	7628
648	14063	7606
649	14096	7590
650	14118	7568
651	14139	7546
652	14159	7524
653	14183	7503
654	14209	7484
655	14230	7462
656	14248	7438
657	14264	7414
658	14280	7389
659	14294	7363
660	14310	7339
661	14326	7314
662	14341	7289
663	14357	7265
664	14373	7240
665	14391	7217
666	14411	7195
667	14431	7172
668	14448	7148
669	14467	7125
670	14485	7102
671	14502	7078
672	14519	7054
673	14534	7030
674	14550	7005
675	14565	6981
676	14582	6957
677	14599	6933
678	14616	6910
679	14637	6888
680	14653	6864
681	14671	6840
682	14686	6816
683	14703	6792
684	14719	6768
685	14734	6744
686	14749	6720
687	14765	6696
688	14782	6672
689	14798	6648
690	14814	6624
691	14833	6601
692	14852	6579
693	14872	6557
694	14890	6534
695	14906	6511
696	14922	6487
697	14936	6462
698	14952	6438
699	14969	6415
700	14986	6392
701	15002	6368
702	15017	6344
703	15034	6321
704	15051	6298
705	15070	6275
706	15088	6252
707	15105	6230
708	15121	6206
709	15136	6182
710	15150	6158
711	15165	6134
712	15181	6110
713	15197	6087
714	15215	6064
715	15231	6041
716	15247	6018
717	15265	5995
718	15285	5973
719	15303	5951
720	15318	5927
721	15332	5903
722	15348	5880
723	15364	5857
724	15380	5833
725	15397	5811
726	15414	5788
727	15430	5765
728	15445	5741
729	15463	5719
730	15486	5698
731	15502	5675
732	15518	5652
733	15535	5629
734	15551	5606
735	15568	5584
736	15584	5561
737	15599	5537
738	15612	5514
739	15625	5489
740	15638	5465
741	15650	5441
742	15664	5418
743	15683	5396
744	15697	5373
745	15711	5349
746	15723	5325
747	15735	5301
748	15747	5277
749	15759	5253
750	15771	5229
751	15783	5205
752	15795	5181
753	15808	5157
754	15823	5134
755	15836	5111
756	15848	5087
757	15869	5066
758	15885	5044
759	15901	5021
760	15914	4998
761	15927	4974
762	15939	4951
763	15952	4927
764	15965	4904
765	15977	4880
766	15989	4857
767	16003	4834
